title,authors,year,journal,category,access,url,doi,keywords,region,note,featured,pdf
REFERENCE ROW - do not delete. Full article title as published.,Citation form: Smith / Smith & Jones / Smith et al.,Four digits,"Unabbreviated. For a report or thesis, the issuing body.",Pick from the dropdown - must be one of the five site headings,Open access / Subscription / leave blank if unsure,Leave blank if doi is filled in,"Bare DOI, no https:// prefix. This is what the site links to.","A few topic words, lowercase, for search","State, province, or study area",One plain-language sentence. Never paste the publisher abstract.,yes only for papers on the Featured research page,"Filename, only for grey literature we host ourselves"
The incident command system and invasive species control,Carlisle & Cross,2026,Biological Invasions,Management & control,Subscription,https://link.springer.com/article/10.1007/s10530-026-03762-1,10.1007/s10530-026-03762-1,,,"Field evidence that running wild pig elimination through a unified incident command system improved interagency coordination, accountability, and capacity.",yes,
"Everything they do, they do it for the water – Behavioural adaptations of wild pigs to drylands in Argentina",Cuevas et al.,2026,Journal of Zoology,Ecology & impacts on wildlife,Subscription,https://doi.org/10.1111/jzo.70136,10.1111/jzo.70136,,Argentina,"Wild pigs colonize arid drylands by anchoring to water and shifting to nocturnal activity to avoid heat and humans. The management takeaway: artificial livestock water points can unintentionally sustain invasive pig populations, making water-source control an underused lever.",no,
"Wild pigs, wild costs: the economic consequences of wild pig invasions in the United States",McKee et al.,2026,Pest Management Science,Management & control,Open access,https://scijournals.onlinelibrary.wiley.com/doi/full/10.1002/ps.70247,10.1002/ps.70247,,,"A national accounting that puts wild pig damage to agriculture, property, and natural resources at a minimum of $3.4 billion a year, and argues the true cost is higher for want of standardized damage data.",yes,
Large-scale assessment of the impacts of invasive wild pigs on water quality in freshwater streams,Bradley et al.,2025,Scientific Reports,Disease & health,Open access,https://doi.org/10.1038/s41598-025-03477-8,10.1038/s41598-025-03477-8,"wild pig dam,age to water",The Gulf Coast And The Wiregrass,,no,
Stream pathogenic bacteria levels rebound post‐population control of wild pigs,Bradley et al.,2025,Journal of Environmental Quality,Disease & health,Subscription,https://doi.org/10.1002/jeq2.70004,10.1002/jeq2.70004,wild pig damae to water,Us States,,no,
Influence of bait and habitat on site visitation by wild pigs (Sus scrofa),Brewer et al.,2025,Pest Management Science,Management & control,Open access,https://doi.org/10.1002/ps.8834,10.1002/ps.8834,wild pig visitation,S Carolina,,no,
Interspecific effects of invasive wild pigs (Sus scrofa) on native nine-banded armadillos (Dasypus novemcinctus),Broadway et al.,2025,Journal of Mammalogy,Ecology & impacts on wildlife,Open access,https://doi.org/10.1093/jmammal/gyaf023,10.1093/jmammal/gyaf023,wild pig impacts on armadillos,Southeast Oklahoma,,no,
"Data from: Invasive wild pig movement and space use in a mixed-use forest landscape, South Carolina",Buchholtz et al.,2025,Movebank Data Repository,Ecology & impacts on wildlife,Open access,https://doi.org/10.5441/001/1.667,10.5441/001/1.667,wildpig ecology data set,S Carolina,,no,
Range Modeling and Surveillance of Ornithodoros turicata Ticks: Implications for Detecting African Swine Fever Virus in the United States,Butler et al.,2025,Ecology and Evolution,Disease & health,Open access,https://doi.org/10.1002/ece3.72738,10.1002/ece3.72738,asf distrobution by ticks,Texas,,no,
The Notorious P.I.G.: wild pigs are not primary predators of wild turkey nests,Collier & Chamberlain,2025,Wildlife Society Bulletin,Ecology & impacts on wildlife,Open access,https://doi.org/10.1002/wsb.1618,10.1002/wsb.1618,wild hog(and other animals) impact on eastern wild turkeys,,,no,
Strategies for wild pig control: Missouri's progress toward elimination,Cross & Carlisle,2025,Wildlife Society Bulletin,Management & control,Open access,https://wildlife.onlinelibrary.wiley.com/doi/10.1002/wsb.1607,10.1002/wsb.1607,,,"How Missouri became the first state to pursue statewide elimination, using systematic baiting, professional trappers, a central reporting hotline, and aerial operations.",yes,
Review of Molecular Tools Used in Diagnosis of Babesia spp. and Anaplasma spp. Infection in Wild Boar and Their Ticks—20 Years Retrospective Review,Dreghiciu et al.,2025,Animals,Disease & health,Open access,https://doi.org/10.3390/ani15152211,10.3390/ani15152211,wild pigs and ticks,Usa,,no,
"Diel Activity Relationships of Sympatric White-Tailed Deer, Black Bear, and Wild Pig Populations in the Southern Appalachian Mountains of Georgia",Edge et al.,2025,Southeastern Naturalist,Ecology & impacts on wildlife,Subscription,https://doi.org/10.1656/058.024.0106,10.1656/058.024.0106,wild pig activity and resource use,Georgia,,no,
Hunters’ Acceptability of Lethal Management Methods Used to Control Invasive Wild Pigs ( Sus scrofa ) in Alabama,Ellis et al.,2025,Society &amp; Natural Resources,Management & control,Subscription,https://doi.org/10.1080/08941920.2024.2449038,10.1080/08941920.2024.2449038,"acceptability of lethal managm,ent of wild pigs",Alabama,,no,
Impact of wild pig invasion on 13 years of crop planting in the contiguous United States,Feuka et al.,2025,Crop Protection,Damage & economics,Subscription,https://doi.org/10.1016/j.cropro.2025.107338,10.1016/j.cropro.2025.107338,wild hog impact on crops,Us,,no,
Scouting with drones to increase efficiency of locating wild pigs for removal,Fischer et al.,2025,Wildlife Society Bulletin,Management & control,Open access,https://doi.org/10.1002/wsb.1619,10.1002/wsb.1619,pig removal,,,no,
"Invasive wild pig carcass availability does not affect coyote abundance in South Carolina, USA",Gaya et al.,2025,Wildlife Research,Ecology & impacts on wildlife,Subscription,https://doi.org/10.1071/WR24175,10.1071/WR24175,wild pig carcass ecology,S Carolina,,no,
"Spatio-Temporal Overlap of Cattle, Feral Swine, and White-Tailed Deer in North Texas",Harvey et al.,2025,Sustainability,Management & control,Open access,https://doi.org/10.3390/su17188354,10.3390/su17188354,transfer of disease from feral pigs to domestic,Texas,,no,
"Wild Pig Resource Selection in an Agro-Forested Landscape of Southwestern Georgia, USA",Kruis et al.,2025,Southeastern Naturalist,Management & control,Subscription,https://doi.org/10.1656/058.024.0211,10.1656/058.024.0211,wild pig resource selection,Georgia,,no,
"Seasonal changes in occupancy and activity patterns in native Collared Peccary and non-native wild pig and Common Warthog in southern Texas, the United States",Kupferman et al.,2025,Journal of Mammalogy,Ecology & impacts on wildlife,Open access,https://doi.org/10.1093/jmammal/gyaf002,10.1093/jmammal/gyaf002,wild pig spatial use,Texas,,no,
Trap evaluation to optimize wild pig removal efforts in remote settings,Lavelle et al.,2025,Wildlife Research,Management & control,Subscription,https://doi.org/10.1071/WR24184,10.1071/WR24184,wild pig traps,Hawaii,,no,
Comparing shotshell characteristics to optimize aerial removal of wild pigs (Sus scrofa),Lavelle et al.,2025,Wildlife Research,Management & control,Open access,https://doi.org/10.1071/WR24150,10.1071/WR24150,wild pig removal technique review,Usa,,no,
Contact patterns in wild pigs (Sus scrofa) from GPS tracking reveal spatial and temporal dynamics of social behaviour,McIlraith et al.,2025,Canadian Journal of Zoology,Disease & health,Open access,https://doi.org/10.1139/cjz-2024-0099,10.1139/cjz-2024-0099,sociaql structure of wild pigs,Ecologically Distict Regions In The Southernus,,no,
"Quantifying wild pig damage reduction using before-after-control-impact design at USACE Richard K. Yancey, Louisiana",McKee and Maddock,2025,U.S. Army Engineer Research and Development Center,Damage & economics,Open access,https://doi.org/10.21079/11681/49933,10.21079/11681/49933,wild pig damage to wetlands,Texas,,no,
Externalities in wild pig damages on U.S. crop and livestock farms,McKee et al.,2025,PLOS ONE,Damage & economics,Open access,https://pmc.ncbi.nlm.nih.gov/articles/PMC11984977/,,,,"How a landowner's actions and the surrounding landscape raise wild pig damage on neighboring farms, underscoring why control has to be coordinated across property lines.",yes,
Externalities in wild pig damages on U.S. crop and livestock farms: The role of landowner actions and landscape heterogeneity,McKee et al.,2025,PLOS ONE,Damage & economics,Open access,https://doi.org/10.1371/journal.pone.0320316,10.1371/journal.pone.0320316,wild pig damage,Us States,,no,
